Offense,family_violence,occurred_date,location_type,Zip,Latitude,Longitude
BURGLARY OF VEHICLE,N,2020-07-04,PARKING /DROP LOT/ GARAGE,78703,30.29643003,-97.78276945
THEFT,N,2021-12-05,RENTAL STORAGE FACILITY,78751,30.2976445,-97.71869468
THEFT,N,2020-01-01,OTHER / UNKNOWN,78757,30.33978133,-97.7253784
THEFT,n,2020-08-21,RESIDENCE / HOME,78704,30.2432944,-97.75517583
CRIMINAL MISCHIEF,N,2020-12-24,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78723,30.27556013,-97.73076699
CRIMINAL MISCHIEF,N,2021-07-22,RENTAL STORAGE FACILITY,78702,30.26908233,-97.73140739
BURGLARY OF VEHICLE,N,2019-02-10,OTHER / UNKNOWN,78705,30.28204807,-97.74175323
THEFT,N,2019-09-21,OTHER / UNKNOWN,78751,30.32275187,-97.72230694
CRIMINAL MISCHIEF,N,2020-08-01,RESIDENCE / HOME,78731,30.35343242,-97.78729715
THEFT,N,2019-06-02,GAMBLING FACILITY / CASINO / RACE TRACK,78753,30.37660976,-97.68929251
THEFT,N,2021-08-04,PARKING /DROP LOT/ GARAGE,78723,30.29275229,-97.720751
BURGLARY OF VEHICLE,N,2021-12-26,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78702,30.26091242,-97.73554041
THEFT,N,2020-03-02,RESIDENCE / HOME,78757,30.34170497,-97.73546075
THEFT,N,2021-09-30,RESIDENCE / HOME,78705,30.28890669,-97.75207498
BURGLARY OF VEHICLE,N,2019-10-05,PARK / PLAYGROUND,78749,30.21405194,-97.86240836
THEFT,N,2020-03-19,RESTAURANT,78705,30.28793997,-97.74260283
THEFT,N,2020-06-09,GROCERY / SUPERMARKET,78749,30.21577256,-97.82978492
THEFT,N,2021-12-08,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78758,30.39961973,-97.72329016
BURGLARY OF VEHICLE,N,2021-08-29,RESIDENCE / HOME,78704,30.2398838,-97.73854831
THEFT,N,2021-12-31,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78701,30.26584235,-97.73859205
FAMILY DISTURBANCE,N,2021-01-24,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78741,30.21987392,-97.69233836
BURGLARY OF VEHICLE,N,2021-03-22,PARKING /DROP LOT/ GARAGE,78704,30.24996002,-97.76552484
THEFT,N,2020-03-17,HOTEL / MOTEL / ETC.,78744,30.20482895,-97.75779826
THEFT,N,2020-11-11,ATM SEPARATE FROM BANK,78759,30.39399818,-97.75171077
THEFT,N,2019-09-18,OTHER / UNKNOWN,78702,30.27613543,-97.70022954
FAMILY DISTURBANCE,N,2021-01-16,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78744,30.17654144,-97.77877028
FAMILY DISTURBANCE,N,2020-10-12,RESIDENCE / HOME,78744,30.17654144,-97.77877028
THEFT,N,2020-11-04,COMMERCIAL / OFFICE BUILDING,78744,30.17654144,-97.77877028
BURGLARY OF VEHICLE,N,2020-04-15,PARKING /DROP LOT/ GARAGE,78744,30.17624854,-97.77897745
FAMILY DISTURBANCE,N,2021-07-09,RESIDENCE / HOME,78744,30.17624854,-97.77897745
THEFT,N,2020-12-08,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78744,30.17654144,-97.77877028
FAMILY DISTURBANCE,N,2019-12-17,RESIDENCE / HOME,78744,30.17654144,-97.77877028
FAMILY DISTURBANCE,N,2021-04-03,RESIDENCE / HOME,78744,30.17624854,-97.77897745
CRIMINAL MISCHIEF,N,2020-12-13,PARKING /DROP LOT/ GARAGE,78744,30.17654144,-97.77877028
BURGLARY OF VEHICLE,N,2020-08-19,RESIDENCE / HOME,78744,30.17624854,-97.77897745
CRIMINAL MISCHIEF,N,2020-03-31,RESIDENCE / HOME,78744,30.17654144,-97.77877028
FAMILY DISTURBANCE,N,2020-08-07,RESIDENCE / HOME,78744,30.17654144,-97.77877028
CRIMINAL MISCHIEF,N,2019-10-31,RESIDENCE / HOME,78744,30.17624854,-97.77897745
FAMILY DISTURBANCE,N,2019-08-15,RESIDENCE / HOME,78744,30.17624854,-97.77897745
FAMILY DISTURBANCE,N,2019-11-11,RESIDENCE / HOME,78744,30.17624854,-97.77897745
BURGLARY OF VEHICLE,N,2020-06-18,OTHER / UNKNOWN,78744,30.17654144,-97.77877028
FAMILY DISTURBANCE,N,2020-04-03,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78744,30.17624854,-97.77897745
BURGLARY OF VEHICLE,N,2020-01-31,RESIDENCE / HOME,78744,30.17654144,-97.77877028
BURGLARY OF VEHICLE,N,2019-10-19,RESIDENCE / HOME,78744,30.17624854,-97.77897745
BURGLARY OF VEHICLE,N,2019-10-06,PARKING /DROP LOT/ GARAGE,78744,30.17624854,-97.77897745
BURGLARY OF VEHICLE,N,2020-05-19,PARKING /DROP LOT/ GARAGE,78744,30.17624854,-97.77897745
CRIMINAL MISCHIEF,N,2021-04-20,COMMERCIAL / OFFICE BUILDING,78754,30.34047446,-97.67754207
FAMILY DISTURBANCE,N,2021-03-18,RESIDENCE / HOME,78744,30.17654144,-97.77877028
BURGLARY OF VEHICLE,N,2019-11-27,PARKING /DROP LOT/ GARAGE,78744,30.17654144,-97.77877028
FAMILY DISTURBANCE,N,2021-10-18,RESIDENCE / HOME,78744,30.17624854,-97.77897745
BURGLARY OF VEHICLE,N,2020-09-05,PARKING /DROP LOT/ GARAGE,78744,30.17654144,-97.77877028
BURGLARY OF VEHICLE,N,2020-06-25,PARKING /DROP LOT/ GARAGE,78744,30.17654144,-97.77877028
