Offense,family_violence,occurred_date,location_type,Zip,Latitude,Longitude
BURGLARY OF VEHICLE,N,2019-07-07,PARKING /DROP LOT/ GARAGE,78758,30.40168382,-97.72673719
FAMILY DISTURBANCE,N,2019-03-31,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78721,30.27269407,-97.68099428
THEFT,N,2019-02-09,RESIDENCE / HOME,78617,30.17121116,-97.61271612
FAMILY DISTURBANCE,N,2020-11-05,RESIDENCE / HOME,78758,30.41434665,-97.69618765
BURGLARY OF VEHICLE,N,2019-12-01,PARKING /DROP LOT/ GARAGE,78727,30.42353637,-97.68034081
BURGLARY OF VEHICLE,N,2020-10-20,PARKING /DROP LOT/ GARAGE,78731,30.32104847,-97.77354003
CRIMINAL MISCHIEF,N,2021-02-08,RESIDENCE / HOME,78724,30.28956396,-97.64753848
THEFT,N,2020-09-08,DRUG STORE / DOCTOR'S OFFICE / HOSPITAL,78704,30.22740613,-97.77136614
CRIMINAL MISCHIEF,N,2019-11-06,PARKING /DROP LOT/ GARAGE,78752,30.33140685,-97.68487489
FAMILY DISTURBANCE,N,2021-03-21,RESIDENCE / HOME,78753,30.35249301,-97.67525444
CRIMINAL MISCHIEF,N,2019-12-13,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78741,30.22110924,-97.68529914
FAMILY DISTURBANCE,N,2019-06-20,RESIDENCE / HOME,78759,30.40943014,-97.71868998
FAMILY DISTURBANCE,N,2019-08-07,RESIDENCE / HOME,78758,30.36983057,-97.71586851
CRIMINAL MISCHIEF,N,2019-08-14,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78701,30.26269012,-97.74210809
FAMILY DISTURBANCE,N,2021-07-01,RESIDENCE / HOME,78703,30.2835469,-97.76414967
BURGLARY OF VEHICLE,N,2021-08-17,RESIDENCE / HOME,78729,30.43787846,-97.76878318
THEFT,N,2020-08-30,SPECIALTY  STORE,78704,30.23869156,-97.75304975
BURGLARY OF VEHICLE,N,2019-01-03,OTHER / UNKNOWN,78751,30.29818458,-97.72130758
THEFT,N,2019-07-18,RESIDENCE / HOME,78757,30.34265879,-97.72378488
CRIMINAL MISCHIEF,N,2019-06-12,PARKING /DROP LOT/ GARAGE,78727,30.42344853,-97.74827518
FAMILY DISTURBANCE,N,2020-12-08,RESIDENCE / HOME,78703,30.26878119,-97.75392169
BURGLARY OF VEHICLE,N,2020-08-08,RESIDENCE / HOME,78749,30.2108358,-97.87034687
FAMILY DISTURBANCE,N,2019-04-04,RESIDENCE / HOME,78753,30.35940846,-97.68500671
THEFT,N,2020-12-23,RESIDENCE / HOME,78748,30.18474898,-97.81070472
BURGLARY OF VEHICLE,N,2020-01-07,OTHER / UNKNOWN,78702,30.28102806,-97.70852872
CRIMINAL MISCHIEF,N,2019-10-13,RESIDENCE / HOME,78736,30.23077391,-97.88952263
BURGLARY OF VEHICLE,N,2020-09-24,PARKING /DROP LOT/ GARAGE,78745,30.22408685,-97.7667131
FAMILY DISTURBANCE,N,2021-02-22,RESIDENCE / HOME,78759,30.38560844,-97.76233444
BURGLARY OF VEHICLE,N,2019-10-20,RESIDENCE / HOME,78744,30.18102576,-97.76344711
FAMILY DISTURBANCE,N,2020-08-13,RESIDENCE / HOME,78704,30.24549895,-97.76689474
THEFT,N,2019-08-16,OTHER / UNKNOWN,78731,30.35770118,-97.79049862
BURGLARY OF VEHICLE,N,2021-10-17,OTHER / UNKNOWN,78731,30.32104847,-97.77354003
CRIMINAL MISCHIEF,N,2021-07-27,PARKING /DROP LOT/ GARAGE,78753,30.3433658,-97.69997996
FAMILY DISTURBANCE,N,2021-04-20,RESIDENCE / HOME,78741,30.23893576,-97.72207706
BURGLARY OF VEHICLE,N,2019-02-02,RESIDENCE / HOME,78751,30.30971284,-97.71329584
BURGLARY OF VEHICLE,N,2021-06-19,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78746,30.27424864,-97.77435005
FAMILY DISTURBANCE,N,2020-11-14,RESIDENCE / HOME,78727,30.41876609,-97.72401891
FAMILY DISTURBANCE,N,2021-03-31,RESIDENCE / HOME,78758,30.36871033,-97.70372535
THEFT,N,2019-05-05,COMMERCIAL / OFFICE BUILDING,78660,30.43379835,-97.66866996
FAMILY DISTURBANCE,N,2019-10-01,RESIDENCE / HOME,78741,30.21958652,-97.73475804
CRIMINAL MISCHIEF,N,2019-08-26,RESIDENCE / HOME,78701,30.25491751,-97.73802392
BURGLARY OF VEHICLE,N,2019-06-15,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78746,30.26446401,-97.77054752
FAMILY DISTURBANCE,N,2020-11-11,RESIDENCE / HOME,78741,30.22646107,-97.69380835
FAMILY DISTURBANCE,N,2020-11-01,RESIDENCE / HOME,78744,30.19208203,-97.7437928
CRIMINAL MISCHIEF,N,2021-03-26,RESIDENCE / HOME,78754,30.34882319,-97.67601201
BURGLARY OF VEHICLE,N,2020-12-31,PARKING /DROP LOT/ GARAGE,78744,30.20524252,-97.75566255
BURGLARY OF VEHICLE,N,2020-02-19,PARKING /DROP LOT/ GARAGE,78753,30.36652906,-97.69300392
FAMILY DISTURBANCE,N,2021-02-14,RESIDENCE / HOME,78723,30.32238174,-97.68082997
BURGLARY OF VEHICLE,N,2019-08-09,PARKING /DROP LOT/ GARAGE,78757,30.34325201,-97.72293169
BURGLARY OF VEHICLE,N,2019-09-17,PARKING /DROP LOT/ GARAGE,78723,30.29090396,-97.69844483
FAMILY DISTURBANCE,N,2021-03-19,RESIDENCE / HOME,78741,30.22706771,-97.72624606
FAMILY DISTURBANCE,N,2019-11-25,RESIDENCE / HOME,78754,30.35029766,-97.60800745
FAMILY DISTURBANCE,N,2021-02-13,RESIDENCE / HOME,78748,30.17212467,-97.79717642
FAMILY DISTURBANCE,N,2020-10-09,HOTEL / MOTEL / ETC.,78701,30.26438581,-97.74340598
FAMILY DISTURBANCE,N,2020-04-17,RESIDENCE / HOME,78748,30.16998952,-97.81887653
FAMILY DISTURBANCE,N,2021-10-26,RESIDENCE / HOME,78704,30.25595216,-97.76068619
CRIMINAL MISCHIEF,N,2021-07-25,RESIDENCE / HOME,78750,30.37665326,-97.78119959
BURGLARY OF VEHICLE,N,2021-10-21,RESIDENCE / HOME,78704,30.25576599,-97.74597843
BURGLARY OF VEHICLE,N,2021-09-06,PARK / PLAYGROUND,78731,30.38308807,-97.76915226
CRIMINAL MISCHIEF,N,2019-11-22,SPECIALTY  STORE,78701,30.26693294,-97.73757734
BURGLARY OF VEHICLE,N,2019-05-09,RESIDENCE / HOME,78704,30.25255839,-97.76453069
THEFT,N,2019-11-01,RESIDENCE / HOME,78745,30.22412205,-97.80164477
THEFT,N,2019-06-05,RESIDENCE / HOME,78723,30.30981328,-97.68060169
THEFT,N,2021-08-10,RESIDENCE / HOME,78724,30.32884413,-97.64198083
FAMILY DISTURBANCE,N,2020-02-01,RESIDENCE / HOME,78745,30.21466271,-97.82942735
BURGLARY OF VEHICLE,N,2019-07-18,OTHER / UNKNOWN,78741,30.23421766,-97.69851222
FAMILY DISTURBANCE,N,2020-10-05,RESIDENCE / HOME,78752,30.33080078,-97.72102379
BURGLARY OF VEHICLE,N,2020-01-05,RESIDENCE / HOME,78758,30.38998936,-97.71849699
THEFT,N,2021-01-27,RESIDENCE / HOME,78741,30.22321311,-97.72145383
THEFT,N,2019-04-16,PARKING /DROP LOT/ GARAGE,78753,30.35019863,-97.68786317
THEFT,N,2019-08-26,BANK / SAVINGS & LOAN,78727,30.43097913,-97.76101306
THEFT,N,2021-06-04,RESIDENCE / HOME,78741,30.23258831,-97.72209348
BURGLARY OF VEHICLE,N,2019-12-05,RESIDENCE / HOME,78741,30.24089649,-97.73233788
THEFT,N,2019-08-19,DEPARTMENT / DISCOUNT STORE,78748,30.16291061,-97.79312325
CRIMINAL MISCHIEF,N,2019-02-15,RESIDENCE / HOME,78758,30.38170035,-97.69408266
FAMILY DISTURBANCE,N,2021-01-27,RESIDENCE / HOME,78753,30.39295402,-97.67684845
FAMILY DISTURBANCE,N,2021-09-13,RESIDENCE / HOME,78702,30.26704938,-97.71881987
BURGLARY OF VEHICLE,N,2020-02-05,RESIDENCE / HOME,78652,30.14130693,-97.80895566
CRIMINAL MISCHIEF,N,2020-09-28,COMMERCIAL / OFFICE BUILDING,78744,30.20524252,-97.75566255
CRIMINAL MISCHIEF,N,2021-01-25,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78721,30.26760896,-97.68087733
FAMILY DISTURBANCE,N,2021-04-23,PARKING /DROP LOT/ GARAGE,78735,30.25988567,-97.90182908
FAMILY DISTURBANCE,N,2021-06-04,RESIDENCE / HOME,78731,30.35709068,-97.75989144
BURGLARY OF VEHICLE,N,2020-12-11,PARKING /DROP LOT/ GARAGE,78717,30.47470444,-97.78322843
BURGLARY OF VEHICLE,N,2020-11-11,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78751,30.30865102,-97.7298904
THEFT,N,2019-02-09,RESIDENCE / HOME,78759,30.4155368,-97.78961716
THEFT,N,2020-03-14,RESTAURANT,78723,30.30693853,-97.68030667
FAMILY DISTURBANCE,N,2019-06-16,RESIDENCE / HOME,78617,30.22454747,-97.67045551
THEFT,N,2020-02-09,RESIDENCE / HOME,78749,30.23001357,-97.84432384
THEFT,N,2021-03-05,RESIDENCE / HOME,78705,30.29713271,-97.74265717
CRIMINAL MISCHIEF,N,2020-06-30,RESIDENCE / HOME,78723,30.30178349,-97.69866762
CRIMINAL MISCHIEF,N,2020-11-22,PARKING /DROP LOT/ GARAGE,78757,30.35893271,-97.74005846
THEFT,N,2021-12-26,RESIDENCE / HOME,78723,30.29456077,-97.69811997
FAMILY DISTURBANCE,N,2020-02-29,RESIDENCE / HOME,78721,30.26058772,-97.68369043
FAMILY DISTURBANCE,N,2019-11-18,RESIDENCE / HOME,78758,30.35465196,-97.70433696
THEFT,N,2021-08-27,BANK / SAVINGS & LOAN,78759,30.42464517,-97.75142944
CRIMINAL MISCHIEF,N,2021-08-21,AIR / BUS / TRAIN TERMINAL,78751,30.31414143,-97.73087398
FAMILY DISTURBANCE,N,2019-08-25,RESIDENCE / HOME,78721,30.27877743,-97.67195099
THEFT,N,2019-12-12,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78701,30.26687522,-97.74587398
CRIMINAL MISCHIEF,N,2021-03-09,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78723,30.32238174,-97.68082997
THEFT,N,2019-05-30,GROCERY / SUPERMARKET,78759,30.3985376,-97.74836248
FAMILY DISTURBANCE,N,2019-08-16,RESIDENCE / HOME,78723,30.30512785,-97.68052762
CRIMINAL MISCHIEF,N,2021-05-11,RESIDENCE / HOME,78705,30.30133299,-97.73575193
CRIMINAL MISCHIEF,N,2019-08-13,DEPARTMENT / DISCOUNT STORE,78741,30.24030929,-97.72645242
THEFT,N,2019-02-22,SPECIALTY  STORE,78757,30.34143618,-97.73821402
FAMILY DISTURBANCE,N,2020-06-13,HOTEL / MOTEL / ETC.,78660,30.44432556,-97.66609014
THEFT,N,2021-02-24,CONSTRUCTION SITE,78723,30.31944732,-97.68523169
THEFT,N,2021-05-31,RESIDENCE / HOME,78759,30.39210748,-97.75712307
THEFT,N,2021-02-03,OTHER / UNKNOWN,78757,30.37144629,-97.7369053
FAMILY DISTURBANCE,N,2019-02-05,RESIDENCE / HOME,78753,30.35500023,-97.68237496
FAMILY DISTURBANCE,N,2021-11-18,RESIDENCE / HOME,78741,30.22249994,-97.70447557
FAMILY DISTURBANCE,N,2019-11-05,RESIDENCE / HOME,78758,30.41225747,-97.69838361
THEFT,N,2021-10-25,COMMERCIAL / OFFICE BUILDING,78705,30.29179992,-97.73519081
FAMILY DISTURBANCE,N,2021-07-31,RESIDENCE / HOME,78748,30.15792961,-97.83235292
BURGLARY OF VEHICLE,N,2019-01-11,PARKING /DROP LOT/ GARAGE,78759,30.39551171,-97.75024887
THEFT,N,2019-03-31,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78730,30.362282,-97.80253452
FAMILY DISTURBANCE,N,2021-02-10,RESIDENCE / HOME,78746,30.28555368,-97.84763572
BURGLARY OF VEHICLE,N,2021-12-09,RESIDENCE / HOME,78759,30.41069227,-97.71678672
FAMILY DISTURBANCE,N,2020-09-08,RESIDENCE / HOME,78702,30.25334533,-97.72048351
THEFT,N,2021-09-24,AIR / BUS / TRAIN TERMINAL,78719,30.20200809,-97.6668813
CRIMINAL MISCHIEF,N,2021-01-08,RESIDENCE / HOME,78758,30.36030464,-97.69887365
BURGLARY OF VEHICLE,N,2020-03-26,PARKING /DROP LOT/ GARAGE,78729,30.44139419,-97.77530148
BURGLARY OF VEHICLE,N,2020-04-07,PARKING /DROP LOT/ GARAGE,78704,30.24140696,-97.78593322
BURGLARY OF VEHICLE,N,2020-05-25,PARKING /DROP LOT/ GARAGE,78745,30.1808457,-97.77725728
FAMILY DISTURBANCE,N,2020-12-12,RESIDENCE / HOME,78723,30.31722663,-97.70240838
BURGLARY OF VEHICLE,N,2019-05-24,RESIDENCE / HOME,78704,30.26472927,-97.76196046
FAMILY DISTURBANCE,N,2019-10-28,RESIDENCE / HOME,78744,30.19785798,-97.74231133
CRIMINAL MISCHIEF,N,2019-10-25,RESIDENCE / HOME,78736,30.23077391,-97.88952263
FAMILY DISTURBANCE,N,2020-12-10,RESIDENCE / HOME,78753,30.39605838,-97.66739371
FAMILY DISTURBANCE,N,2019-01-09,HOTEL / MOTEL / ETC.,78752,30.3230732,-97.70063208
CRIMINAL MISCHIEF,N,2021-12-04,RESIDENCE / HOME,78750,30.44961551,-97.79820602
THEFT,N,2019-04-17,AIR / BUS / TRAIN TERMINAL,78719,30.20200809,-97.6668813
FAMILY DISTURBANCE,N,2019-07-14,RESIDENCE / HOME,78741,30.23973812,-97.71651521
CRIMINAL MISCHIEF,N,2020-10-24,OTHER / UNKNOWN,78702,30.26402985,-97.70753972
THEFT,N,2020-03-09,RESIDENCE / HOME,78753,30.39665922,-97.66375058
FAMILY DISTURBANCE,N,2021-05-21,HOTEL / MOTEL / ETC.,78752,30.32318054,-97.71083453
FAMILY DISTURBANCE,N,2020-08-15,RESIDENCE / HOME,78660,30.42926059,-97.66524703
CRIMINAL MISCHIEF,N,2020-06-10,RESIDENCE / HOME,78744,30.21151688,-97.71732405
CRIMINAL MISCHIEF,N,2020-06-14,GOVERNMENT / PUBLIC BUILDING,78701,30.26755343,-97.73467415
BURGLARY OF VEHICLE,N,2019-07-16,PARKING /DROP LOT/ GARAGE,78727,30.43529881,-97.73039863
BURGLARY OF VEHICLE,N,2019-01-29,PARKING /DROP LOT/ GARAGE,78757,30.35905882,-97.73460323
BURGLARY OF VEHICLE,N,2020-04-17,PARKING /DROP LOT/ GARAGE,78739,30.18601925,-97.91399547
BURGLARY OF VEHICLE,N,2019-11-11,PARKING /DROP LOT/ GARAGE,78703,30.27452033,-97.76497295
FAMILY DISTURBANCE,N,2019-02-07,RESIDENCE / HOME,78741,30.24271748,-97.73059094
CRIMINAL MISCHIEF,N,2019-08-19,PARKING /DROP LOT/ GARAGE,78753,30.39438783,-97.67065387
BURGLARY OF VEHICLE,N,2021-08-16,PARK / PLAYGROUND,78750,30.40673042,-97.79031913
FAMILY DISTURBANCE,N,2019-04-08,RESIDENCE / HOME,78753,30.36481286,-97.69313972
FAMILY DISTURBANCE,N,2020-11-04,RESIDENCE / HOME,78741,30.2290038,-97.70310131
THEFT,N,2020-06-10,PARK / PLAYGROUND,78746,30.26466855,-97.77266175
THEFT,N,2020-10-08,PARKING /DROP LOT/ GARAGE,78753,30.40722316,-97.67645524
BURGLARY OF VEHICLE,N,2019-06-10,PARKING /DROP LOT/ GARAGE,78758,30.40356745,-97.72347203
BURGLARY OF VEHICLE,N,2019-07-10,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78759,30.41525429,-97.74590864
THEFT,N,2021-02-21,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78701,30.26726112,-97.7381642
BURGLARY OF VEHICLE,N,2019-05-28,RESIDENCE / HOME,78722,30.29333483,-97.71708412
FAMILY DISTURBANCE,N,2020-04-01,RESIDENCE / HOME,78744,30.20006461,-97.7566651
THEFT,N,2019-03-25,RESIDENCE / HOME,78757,30.33111111,-97.72532424
BURGLARY OF VEHICLE,N,2020-09-01,COMMERCIAL / OFFICE BUILDING,78759,30.39160411,-97.7324475
CRIMINAL MISCHIEF,N,2021-06-21,AIR / BUS / TRAIN TERMINAL,78701,30.26892586,-97.73861057
FAMILY DISTURBANCE,N,2019-07-21,RESIDENCE / HOME,78753,30.3522535,-97.69281751
CRIMINAL MISCHIEF,N,2020-09-02,RESIDENCE / HOME,78702,30.25263687,-97.72634452
BURGLARY OF VEHICLE,N,2019-01-15,PARKING /DROP LOT/ GARAGE,78757,30.36840597,-97.72018915
BURGLARY OF VEHICLE,N,2020-02-04,PARKING /DROP LOT/ GARAGE,78705,30.29089709,-97.74507789
BURGLARY OF VEHICLE,N,2019-10-08,RESIDENCE / HOME,78759,30.4110599,-97.74808698
FAMILY DISTURBANCE,N,2019-07-05,RESIDENCE / HOME,78660,30.42926059,-97.66524703
THEFT,N,2021-05-14,PARKING /DROP LOT/ GARAGE,78704,30.26286872,-97.75860722
THEFT,N,2020-02-17,CONVENIENCE STORE,78752,30.33278091,-97.7050027
FAMILY DISTURBANCE,N,2020-02-12,RESIDENCE / HOME,78748,30.15591717,-97.83337658
CRIMINAL MISCHIEF,N,2020-05-31,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78744,30.17049314,-97.73001653
CRIMINAL MISCHIEF,N,2021-06-28,RESIDENCE / HOME,78723,30.31820104,-97.70579928
BURGLARY OF VEHICLE,N,2020-06-21,PARKING /DROP LOT/ GARAGE,78758,30.36485496,-97.70751602
BURGLARY OF VEHICLE,N,2020-05-10,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78705,30.29729495,-97.74592372
FAMILY DISTURBANCE,N,2021-07-11,RESIDENCE / HOME,78727,30.43022792,-97.74199003
THEFT,N,2019-07-21,DEPARTMENT / DISCOUNT STORE,78745,30.22924532,-97.79009583
CRIMINAL MISCHIEF,N,2021-01-25,RESIDENCE / HOME,78741,30.22706771,-97.72624606
BURGLARY OF VEHICLE,N,2019-03-14,PARKING /DROP LOT/ GARAGE,78757,30.37186311,-97.72586207
BURGLARY OF VEHICLE,N,2020-09-06,RESIDENCE / HOME,78723,30.31990868,-97.70430715
BURGLARY OF VEHICLE,N,2020-09-29,RESIDENCE / HOME,78753,30.34345373,-97.70238754
BURGLARY OF VEHICLE,N,2021-12-02,HOTEL / MOTEL / ETC.,78752,30.32898506,-97.70538828
THEFT,N,2021-01-13,CONVENIENCE STORE,78704,30.25247359,-97.76290776
BURGLARY OF VEHICLE,N,2019-11-07,BAR / NIGHTCLUB,78751,30.31793138,-97.72221547
FAMILY DISTURBANCE,N,2020-02-12,HOTEL / MOTEL / ETC.,78751,30.3198323,-97.70796135
FAMILY DISTURBANCE,N,2021-07-15,PARKING /DROP LOT/ GARAGE,78745,30.22077512,-97.76683277
BURGLARY OF VEHICLE,N,2021-07-04,RESIDENCE / HOME,78752,30.32915471,-97.70400447
FAMILY DISTURBANCE,N,2021-02-08,RESIDENCE / HOME,78748,30.1802198,-97.82136122
BURGLARY OF VEHICLE,N,2020-03-26,RESIDENCE / HOME,78753,30.39774591,-97.64978855
THEFT,N,2020-05-26,RESIDENCE / HOME,78750,30.46036749,-97.81236213
BURGLARY OF VEHICLE,N,2021-11-23,PARKING /DROP LOT/ GARAGE,78705,30.28756968,-97.74183632
FAMILY DISTURBANCE,N,2020-03-31,RESIDENCE / HOME,78741,30.23040142,-97.72977629
CRIMINAL MISCHIEF,N,2021-07-06,RESIDENCE / HOME,78753,30.34664576,-97.69657342
FAMILY DISTURBANCE,N,2021-11-10,RESIDENCE / HOME,78744,30.18038398,-97.7577882
BURGLARY OF VEHICLE,N,2021-11-11,HOTEL / MOTEL / ETC.,78758,30.39716921,-97.71910498
BURGLARY OF VEHICLE,N,2020-05-15,RESIDENCE / HOME,78726,30.42225729,-97.86304361
BURGLARY OF VEHICLE,N,2020-04-05,RESIDENCE / HOME,78754,30.33058548,-97.67614971
FAMILY DISTURBANCE,N,2019-04-15,RESIDENCE / HOME,78744,30.19332337,-97.73759202
FAMILY DISTURBANCE,N,2021-05-12,RESIDENCE / HOME,78744,30.20549514,-97.73862021
THEFT,N,2021-06-17,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78731,30.35544891,-97.75155327
FAMILY DISTURBANCE,N,2019-12-12,RESIDENCE / HOME,78745,30.22398971,-97.80371631
FAMILY DISTURBANCE,N,2020-04-03,RESIDENCE / HOME,78757,30.33146886,-97.73020683
THEFT,N,2020-10-28,BAR / NIGHTCLUB,78701,30.2687184,-97.7420857
THEFT,N,2020-05-27,CONSTRUCTION SITE,78724,30.30558515,-97.62727485
FAMILY DISTURBANCE,N,2019-07-21,PARK / PLAYGROUND,78704,30.23919843,-97.75924147
THEFT,N,2021-10-04,RESIDENCE / HOME,78731,30.35562397,-97.75574434
BURGLARY OF VEHICLE,N,2020-09-27,RESIDENCE / HOME,78754,30.3753838,-97.65275185
THEFT,N,2021-08-23,RESIDENCE / HOME,78704,30.24565553,-97.76633622
FAMILY DISTURBANCE,N,2021-09-21,RESIDENCE / HOME,78729,30.4428668,-97.77205005
FAMILY DISTURBANCE,N,2021-11-12,RESIDENCE / HOME,78752,30.33466153,-97.70725341
CRIMINAL MISCHIEF,N,2021-11-12,RESIDENCE / HOME,78753,30.37276703,-97.69113929
BURGLARY OF VEHICLE,N,2019-05-23,RESIDENCE / HOME,78758,30.38706171,-97.70068374
THEFT,N,2020-04-06,OTHER / UNKNOWN,78704,30.24310053,-97.73686219
THEFT,N,2021-03-06,OTHER / UNKNOWN,78745,30.19276694,-97.77953487
BURGLARY OF VEHICLE,N,2019-05-03,PARKING /DROP LOT/ GARAGE,78729,30.44590435,-97.78690143
FAMILY DISTURBANCE,N,2019-07-13,RESIDENCE / HOME,78758,30.36871033,-97.70372535
BURGLARY OF VEHICLE,N,2019-02-19,RESIDENCE / HOME,78731,30.34922301,-97.75501476
CRIMINAL MISCHIEF,N,2019-01-14,OTHER / UNKNOWN,78741,30.2248183,-97.73099728
BURGLARY OF VEHICLE,N,2019-12-10,RESIDENCE / HOME,78617,30.17264687,-97.60987108
CRIMINAL MISCHIEF,N,2019-12-03,PARKING /DROP LOT/ GARAGE,78702,30.26633899,-97.73378481
BURGLARY OF VEHICLE,N,2020-03-31,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78741,30.22866949,-97.73591041
THEFT,N,2019-05-09,OTHER / UNKNOWN,78703,30.29314565,-97.76086428
BURGLARY OF VEHICLE,N,2019-06-21,RESIDENCE / HOME,78753,30.36441343,-97.68897032
FAMILY DISTURBANCE,N,2019-07-18,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78729,30.47302144,-97.78060896
BURGLARY OF VEHICLE,N,2020-04-01,RESIDENCE / HOME,78759,30.41130218,-97.72242488
BURGLARY OF VEHICLE,N,2019-09-15,RESIDENCE / HOME,78745,30.19148253,-97.77553852
CRIMINAL MISCHIEF,N,2021-11-09,RESIDENCE / HOME,78704,30.25679173,-97.75142551
BURGLARY OF VEHICLE,N,2020-10-20,RESIDENCE / HOME,78722,30.29405235,-97.70953419
THEFT,N,2019-08-27,RESIDENCE / HOME,78702,30.25967535,-97.72352482
CRIMINAL MISCHIEF,N,2020-04-10,RESIDENCE / HOME,78759,30.41283037,-97.73606354
THEFT,N,2019-06-09,COMMERCIAL / OFFICE BUILDING,78748,30.14903992,-97.84161458
FAMILY DISTURBANCE,N,2019-05-15,RESIDENCE / HOME,78754,30.3821216,-97.65087687
BURGLARY OF VEHICLE,N,2019-05-02,PARKING /DROP LOT/ GARAGE,78759,30.38469153,-97.73987328
FAMILY DISTURBANCE,N,2020-01-20,RESIDENCE / HOME,78758,30.36933406,-97.70409848
BURGLARY OF VEHICLE,N,2020-10-28,RESIDENCE / HOME,78758,30.41508132,-97.70357423
FAMILY DISTURBANCE,N,2019-04-10,RESIDENCE / HOME,78758,30.39759159,-97.7051808
CRIMINAL MISCHIEF,N,2021-12-12,OTHER / UNKNOWN,78745,30.22308726,-97.77448621
BURGLARY OF VEHICLE,N,2021-03-01,RESIDENCE / HOME,78753,30.3664345,-97.68761447
BURGLARY OF VEHICLE,N,2019-09-27,RESTAURANT,78660,30.42418877,-97.66974492
CRIMINAL MISCHIEF,N,2019-09-03,RESIDENCE / HOME,78724,30.31520186,-97.65668082
THEFT,N,2019-06-22,RESIDENCE / HOME,78759,30.38349691,-97.75962766
THEFT,N,2019-01-16,RESIDENCE / HOME,78759,30.39479509,-97.76428179
BURGLARY OF VEHICLE,N,2020-01-20,RESIDENCE / HOME,78752,30.33353838,-97.69501338
BURGLARY OF VEHICLE,N,2021-11-19,PARKING /DROP LOT/ GARAGE,78701,30.25680559,-97.73917706
FAMILY DISTURBANCE,N,2021-09-21,RESIDENCE / HOME,78753,30.34970608,-97.71021168
THEFT,N,2020-11-12,DEPARTMENT / DISCOUNT STORE,78753,30.33915243,-97.69116575
FAMILY DISTURBANCE,N,2020-06-20,RESIDENCE / HOME,78748,30.17765536,-97.82326388
BURGLARY OF VEHICLE,N,2020-08-02,RESIDENCE / HOME,78746,30.2633666,-97.80362243
FAMILY DISTURBANCE,N,2020-06-09,RESIDENCE / HOME,78724,30.296747,-97.62618194
THEFT,N,2021-12-01,RESIDENCE / HOME,78752,30.33351295,-97.69150727
THEFT,N,2020-01-05,SPECIALTY  STORE,78660,30.39955867,-97.63145259
FAMILY DISTURBANCE,N,2019-02-10,RESIDENCE / HOME,78726,30.40926561,-97.85053821
BURGLARY OF VEHICLE,N,2020-11-01,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78702,30.2656352,-97.73420615
BURGLARY OF VEHICLE,N,2021-11-27,HOTEL / MOTEL / ETC.,78729,30.45798345,-97.79062999
FAMILY DISTURBANCE,N,2020-11-07,RESIDENCE / HOME,78758,30.37148551,-97.71717801
CRIMINAL MISCHIEF,N,2020-12-18,RESIDENCE / HOME,78744,30.19643292,-97.75783212
BURGLARY OF VEHICLE,N,2021-05-24,RESIDENCE / HOME,78705,30.29514875,-97.73785171
BURGLARY OF VEHICLE,N,2021-01-13,HOTEL / MOTEL / ETC.,78752,30.32638063,-97.70486
FAMILY DISTURBANCE,N,2020-06-07,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78724,30.29140991,-97.64532879
FAMILY DISTURBANCE,N,2019-11-10,RESIDENCE / HOME,78758,30.36055719,-97.71281221
BURGLARY OF VEHICLE,N,2019-08-15,RESIDENCE / HOME,78745,30.22163602,-97.80040514
BURGLARY OF VEHICLE,N,2020-12-11,PARKING /DROP LOT/ GARAGE,78704,30.25576599,-97.74597843
THEFT,N,2019-07-19,RESIDENCE / HOME,78704,30.25461405,-97.74341465
CRIMINAL MISCHIEF,N,2021-01-20,SERVICE/ GAS STATION,78744,30.18802384,-97.76570505
FAMILY DISTURBANCE,N,2020-12-11,RESIDENCE / HOME,78744,30.16552618,-97.78510052
FAMILY DISTURBANCE,N,2020-03-11,RESIDENCE / HOME,78723,30.31600812,-97.69972481
FAMILY DISTURBANCE,N,2021-11-20,RESIDENCE / HOME,78746,30.25836439,-97.79156238
THEFT,N,2019-04-05,RESIDENCE / HOME,78727,30.430217,-97.71260035
FAMILY DISTURBANCE,N,2019-12-25,RESIDENCE / HOME,78753,30.39295402,-97.67684845
BURGLARY OF VEHICLE,N,2019-01-04,PARK / PLAYGROUND,78749,30.20229006,-97.88551274
CRIMINAL MISCHIEF,N,2020-07-22,COMMERCIAL / OFFICE BUILDING,78724,30.29005101,-97.62819528
